#	字典配置表		
#	Key		Value
#	string		string
#	字典主键	策划备注	字典内容，可使用转义符
	CHANGE_SCENE_SUCCESS	切换场景成功	Successful handovescenario
	UI_TITLE_NAME_CLEANOUTRESULT	扫荡结算	Clean up settlement
	UI_TEXT_RECEIVEITEM_NOTICE	恭喜您获得	Congratulations on your acquisition
	UI_TEXT_RECEIVEHERO_NOTICE	恭喜您获得新英雄	Congratulations on your new hero
	UI_TITLE_NAME_HEROIC	故事模式	Unknown Dictionary Story Patterns
	UI_TEXT_ITEMNAME_COUNT	{0}	{0}
	UI_TEXT_REWARDS_NOTICE	可能获得：	Possible access:
	UI_TEXT_REWARDS_NOTICE_2	副本星级评价越高，奖励越好！	The higher the replica star rating, the better the reward!
	UI_TITLE_NAME_PVP_OFFLINE	排位赛	Qualifying
	UI_BUTTON_CHALLENGE	挑战	Challenge
	UI_BUTTON_REVANGE	复仇	revenge
	UI_TEXT_CHALLENGE_NUMBER	可挑战次数：[ffcc72]{0}[-]	Challenges: [ffcc72] {0} [-]
	UI_TEXT_CHALLENGE_RUN_OUT	挑战次数已用完	The number of challenges has been exhausted
	UI_BUTTON_BUYTIMES	购买次数	Number of purchases
	UI_BUTTON_EXCHANGEAWARD	奖励兑换	Reward Exchange
	UI_BUTTON_RECORD	战绩	Record
	UI_BUTTON_RANKLIST	排行榜	Rankings
	UI_BUTTON_REFRESH_TIMES	刷新 {0}:{1}	Refresh {0}: {1}
	UI_TEXT_STREAKTIMES	{0}胜	{0} wins
	UI_TEXT_RANK_LEVEL	等级排行	Ranking
	UI_TEXT_RANK_GS	战力	Combat effectiveness
	UI_TEXT_RANK_PKOFFLINE	排位赛	Qualifying
	UI_TEXT_RANK_1ST	1st	1st
	UI_TEXT_RANK_2ND	2nd	2nd
	UI_TEXT_RANK_3RD	3rd	3rd
	UI_BUTTON_BACKTOPVPOFFLINE	返回列表	Return list
	UI_TEXT_MYRANK	玩家当前排名：第[ffcc72]{0}[-]位	Player's current ranking: position [ffcc72] {0} [-]
	UI_TEXT_RANK_PKONLINE	实时竞技	Real-time Athletics
	UI_BUTTON_RANK_LOCAL_SERVER	本服排行	The ranking of the clothes
	UI_BUTTON_RANK_WHOLE_SERVER	全服排行	Full dress ranking
	UI_TEXT_RANK_PK	竞技排行	Competitive ranking
	UI_TEXT_TIME_BEFORE	{0}前	{0} before
	UI_TEXT_CLEANOUT_ENERGYNOTENOUGH	当前体力不足，您可以选择直接购买体力	Current physical inadequacy, you can choose to purchase physical strength directly.
	UI_TEXT_USEITEM_SELECTHERO	请选择英雄	Please choose Heroes
	UI_TEXT_USETIEM_LONGPRESS_NOTICE	长按可连续使用	Long press can be used continuously
	UI_BUTTON_USE	使用	Use
	UI_TEXT_INSTANCE_NOTICE_LEVELRECOMMEND	推荐等级：{0}	Recommendation Level: {0}
	UI_TITLE_NAME_PIECESEXCHANGE	兑换魂魄	The Unknown Dictionary Converts Soul
	UI_TEXT_EXCHANGETOTAL_NUMBER	兑换总量：{0}	Total Exchange: {0}
	UI_BUTTON_MATERIAL	材料	Material Science
	UI_BUTTON_HEROPIECE	魂石	Spirit Stone
	UI_TEXT_ELEMENT_LIGHT	光系	Optical system
	UI_TEXT_ELEMENT_DARK	暗系	Dark system
	UI_TEXT_ELEMENT_FIRE	火系	Fire system
	UI_TEXT_ELEMENT_THUNDER	雷系	Thunder series
	UI_TEXT_ELEMENT_ICE	冰系	Ice system
	UI_BUTTON_PIECESTOHERO	召唤英雄	summon the heroes
	UI_TEXT_USEITEM_NOTICE_LEVELFULL	无法使用该道具，请提升您的玩家等级	Unable to use this prop, please upgrade your player level
	UI_TEXT_NOTICE_DIAMONDNOTENOUGH	钻石不足	Insufficient diamonds
	UI_TEXT_NOTICE_COINNOTENOUGH	金币不足	Insufficient gold coins
	UI_TEXT_NOTICE_SPIRITNOTENOUGH	魂魄不足	Insufficient soul
	UI_TEXT_REFRESH_NOTICE_BUY	是否愿意消耗{0}钻石刷新1次全部商品	Are you willing to consume {0} diamonds to refresh all goods once?
	UI_BUTTON_PACKET	徽章背包	Badge Backpack
	UI_TEXT_COMPOSABLE	点击合成	Click synthesis
	UI_TEXT_NEWLY_OBTAINED	新获得	New acquisition
	UI_TEXT_HEROFORMPIECES_NOTICE_1	是否消耗{0}个魂石召唤英雄：{1}	Whether to consume {0} soul stones to summon heroes: {1}
	UI_TEXT_GEARFORMPIECES_NOTICE_CATALYST	您已成功添加装备，使用必成符可以大幅提高合成的成功率	You have successfully added equipment, and the success rate of synthesis can be greatly improved by using the must-fit.
	UI_TEXT_EMAIL_NOTICE_EMPTY	暂时没有邮件	No mail for the time being
	UI_TEXT_PACKET_NOTICE_EMPTY	您还没有此类道具	You don't have such props yet.
	UI_TITTLE_NAME_ACTIVITY_SELECT	活动	activity
	UI_TEXT_USEITEM_NOTICE_NOITEM	已没有此类道具，无法进行升级操作	There is no such props available, and upgrade operations cannot be carried out.
	UI_TEXT_NUMBER_KILO	{0:P2}K	{0:P2} K
	UI_TEXT_NUMBER_MILLION	{0:P2}M	{0:P2} M
	UI_TEXT_FRIENDLIST_NOTICE_NONEFRIEND	您还没有好友，还不赶快邀请其他玩家	You don't have friends yet, so please invite other players as soon as possible.
	UI_TEXT_FRIENDLIST_NOTICE_NONEREQUEST	您还没有好友请求，何不主动邀请其他玩家	You don't have a friend request yet. Why not invite other players on your own initiative?
	UI_TEXT_FRIENDLIST_REQUEST_SENT	您的好友请求已经成功发送	Your friend request has been sent successfully
	UI_TEXT_FRIENDLIST_ENERGY_RECEIVED_FROM_FRIEND	您已获得了好友赠送的体力，还可获得{0}次。	You have gained strength from your friends and {0} times.
	UI_TEXT_FRIENDLIST_ENERGY_GIVEN_TO_FRIEND	您已经把体力赠给好友，还可赠送{0}次。	You have given your physical strength to your friends and {0} times.
	UI_TEXT_SALEITEM_NOTICE_CONFIRM	是否要出售此道具？	Do you want to sell this prop?
	UI_TEXT_TYPE_WEAPON	武器	Arms
	UI_TEXT_TYPE_HELMET	头盔	Helmet
	UI_TEXT_TYPE_ARMOR	铠甲	Armor
	UI_TEXT_TYPE_SHOES	鞋履	Shoe shoe
	UI_TEXT_TYPE_NACKLACE	项链	Necklace
	UI_TEXT_TYPE_RING	戒指	Ring
	UI_TEXT_BATTLE_NOTICE_GIVEUPCONFIRM	您确定要放弃本次副本？	Are you sure you want to give up this copy?
	UI_BUTTON_BATTLE_INSTRUCTION	说明	Explain
	UI_TEXT_INSTANCE_DEFEAT_NOTICE	很抱歉，您未在规定的时间内完成副本……	I'm sorry that you didn't complete the copy within the stipulated time...
	UI_TEXT_INSTANCE_NPC_DEAD	很抱歉，您守护的NPC已经阵亡……	I'm sorry, the NPC you guard has been killed...
	UI_TEXT_GS_HERO	战力	combat effectiveness
	UI_TEXT_EXP_PRECENT	当前经验：	Current experience:
	UI_TEXT_SOUNDON	ON	ON
	UI_TEXT_SOUNDOFF	OFF	OFF
	UI_TITLE_NAME_SKILL_ALL	技能	Skill
	UI_BUTTON_STORY	故事	Story
	UI_TEXT_ATTRIBUTE_LIST_NAME	属性	attribute
	UI_TEXT_SKILL_EFFECT_NAME	技能详情	Skills details
	UI_TEXT_NEXT_SKILL_EFFECT_NAME	升级预览	Upgrade Preview
	UI_TEXT_ITEM_DESCRIPTION_NAME	详情	Details
	UI_TEXT_SLASH_LACK	[FF3737FF]{0}/{1}[-]	[FF3737FF] {0}/{1}[-]
	UI_BUTTON_HERO_STAR_LEVELUP	突破	Breach
	UI_TEXT_ANYTOUCH_NOTE	点击任意位置继续	Click anywhere to continue
	UI_TEXT_HEROSOUL_TYPE	战魂	The Soul of War
	UI_TEXT_GEARFORMPIECES_TOAST_FAILED	合成失败	Composition failure
	UI_TEXT_LV_NAME	Lv.	Lv.
	UI_TEXT_GEARFORMPIECES_NOTICE_CATALYST_COMPLETE	已添加必成符，本次合成百分百成功	The unknown dictionary has been added with a must-match, and the synthesis is 100% successful.
	UI_TEXT_GEAR_WHITE	白品质装备	White Quality Equipment
	UI_TEXT_GEAR_GREEN	绿品质装备	Green Quality Equipment
	UI_TEXT_GEAR_BLUE	蓝品质装备	Blue Quality Equipment
	UI_TEXT_GEAR_PURPLE	紫品质装备	Purple Quality Equipment
	UI_TEXT_GEAR_ORANGE	橙品质装备	Orange Quality Equipment
	UI_TEXT_GEAR_RED	红品质装备	Red Quality Equipment
	UI_TEXT_QUALITY_WHITE	白品质	White quality
	UI_TEXT_QUALITY_GREEN	绿品质	Green Quality
	UI_TEXT_QUALITY_BLUE	蓝品质	Blue quality
	UI_TEXT_QUALITY_PURPLE	紫品质	Purple quality
	UI_TEXT_QUALITY_ORANGE	橙品质	Orange quality
	UI_TEXT_QUALITY_RED	红品质	Red quality
	UI_TEXT_GEAR_TYPE_UNKNOW	未知？	Unknown?
	UI_BUTTON_CLEAR	清除	Eliminate
	UI_TEXT_GEAR_NOT_ENOUGH	您当前没有5件同品质的装备，无法进行装备合成操作	You do not currently have 5 pieces of equipment of the same quality and cannot perform equipment synthesis operations.
	UI_BUTTON_PAGE_SHOP_COMMON	随机商店	Random Shop
	UI_BUTTON_PAGE_SHOP_VIP	VIP商店	VIP Store
	UI_TITLE_FILTER_GEAR	装备筛选	Equipment Screening
	UI_BUTTON_FILTER_DRESS	已装备	Equipped
	UI_BUTTON_FILTER_UNDRESS	未装备	Unequipped
	UI_TITLE_NAME_EPIGRAPH_IN	铭文	Glyph of Unknown Dictionary
	UI_BUTTON_UNLOCK	点击解锁	Click unlock
	UI_TITLE_NAME_ATTRIBUTE_NOTE	队伍属性提升	Unknown Dictionary Team Attribute Improvement
	UI_TEXT_ATTRIBUTE_NEW	NEW	NEW
	UI_TEXT_SKILL_LEVELUP_COST_NOTICE	技能升级消耗：	Skill Upgrade Consumption:
	UI_TEXT_SKILL_HEROLEVEL_LIMITED	必要英雄等级：{0}	Necessary Hero Level: {0}
	UI_TEXT_SKILL_PURCHASE	每日限购：{0}/{1}	Daily limit: {0}/{1}
	UI_TEXT_CHANCE_EACH_COST	本次抽奖花费：	The raffle costs:
	UI_TEXT_TITLE_RULE	规则	rule
	UI_TEXT_EXPLAIN1	1、100%中奖、200元现金、500元现金卷；	1, 100% won the prize, 200 yuan in cash, 500 yuan in cash vouchers;
	UI_TEXT_EXPLAIN2	2、刮中的“现金卷”将以现金劵的形式返还至个人账户，注意查收	(Unknown Dictionary) 2. The scraped "cash roll" will be returned to the personal account in the form of a cash stamp. Pay attention to checking and collecting it.
	UI_TEXT_COMPLETE	完成奖励	Completion reward
	UI_TEXT_GET_INTO	进入	Get into
	UI_TEXT_PVP_OFFLINE	离线战斗	Offline combat
	UI_TEXT_CHESSMAN	翻翻棋	Chess flipping [unknown dictionary]
	UI_TEXT_FONUDRY	千锤百炼	Unknown Dictionary
	UI_TEXT_DID_NOT_OPEN	秘密活动	Unknown Dictionary Secret Activities
	UI_TEXT_ACTIVITY_PROGRESS	进行中	Have in hand
	UI_TEXT_SOUNDSWITCH	声音	voice
	UI_TEXT_OFF	OFF	OFF
	UI_TEXT_ON	ON	ON
	UI_TEXT_MERIDIAN_NOTICE_NEWSTAR	进度达到21/30即可解锁下一星座	Unknown Dictionary The next constellation can be unlocked when the progress of Unknown Dictionary reaches 21/30.
	UI_TEXT_MERIDIAN_NOTICE_NEWSTAR_COMPLETE	您已解锁下一星座:{0}	You have unlocked the next constellation: {0}
	UI_TEXT_MERIDIAN_REWARD_PRESENT	本次奖励：	This award:
	UI_TEXT_MERIDIAN_REWARD_NEXT	下次奖励：	Next award:
	UI_TEXT_SPEND_MONEY_NOTICE	你确定要花费{0}钻石来完成本次操作吗？	Are you sure you need to spend {0} diamonds to complete this operation?
	UI_TEXT_SPEND_COIN_NOTICE	你确定要花费{0}金币来完成本次操作吗？	Are you sure you need to spend {0} gold coins to complete this operation?
	UI_TEXT_MERIDIAN_COST_PRESENT	消耗：	Consumption:
	UI_TEXT_MERIDIAN_COST_NEXT	下次消耗：	Next consumption:
	UI_TITLE_NAME_ACTIVITYSELECT	竞技列表	Competition List
	UI_TEXT_PLAYERINFO_OTHER	其他	Other
	UI_TEXT_ACTIVITY_UNLOCK_LEVEL	 解锁等级：{0}	Unlock Level: {0}
	UI_TEXT_RECEIVEHERO_HEROTOPIECES	您已拥有该英雄，系统将自动转成{0}个该英雄的英雄魂石	You already have the hero, and the system will automatically convert to {0} hero's soul stone.
	UI_TEXT_PLAYERINFO_HEAD	更换头像	Change the Avatar
	UI_TEXT_PLAYERINFO_PHYSICAL_STRENGTH	恢复体力时间：  [ffffff]{0:D2}:{1:D2}[-]	Recovery time: [ffffff] {0:D2}: {1:D2} [-]
	UI_TEXT_PLAYERINFO_LEVEL	等级：  [ffffff]{0}[-]	Level: [ffffff] {0} [-]
	UI_TEXT_PLAYERINFO_TOTAL_QUALITY	画面质量	Picture quality
	UI_TEXT_PLAYERINFO_LIGHT_SHADOW	实时阴影	Real-time shadows
	UI_TEXT_PLAYERINFO_MAP	实时光源	Real-time light source
	UI_TEXT_PLAYERINFO_MIDDLE	中	in
	UI_TEXT_PLAYERINFO_VOICE	音量	Volume
	UI_TEXT_PLAYERINFO_SOUND	音效	Sound effects
	UI_TEXT_PLAYERINFO_LOW	低	Low
	UI_TEXT_PLAYERINFO_HIGH	高	High
	UI_TEXT_PLAYERINFO_MUSIC	音乐	Music
	UI_TEXT_PLAYERINFO_SWITCH_SERVER	切换服务器	Switching Server
	UI_TEXT_PLAYERINFO_GANG	帮派	Gangs
	UI_TEXT_PLAYERINFO_NAME	昵称：  [ffffff]{0}[-]	Nickname: [ffffff] {0} [-]
	UI_TEXT_PLAYERINFO_SERVER	服务器	The server
	UI_TEXT_PLAYERINFO_CANCELLATION	重新登录	Re-login
	UI_TEXT_PLAYERINFO_SETUP	系统设置	System Settings
	UI_TEXT_PLAYERINFO_TITLE_BASIC_BASOC_INFORMATION	基本信息	Essential information
	UI_TEXT_PLAYERINFO_HEROSNUMBER	拥有英雄数量：[ffffff]{0}[-]	Number of heroes: [ffffff] {0} [-]
	UI_TEXT_PLAYERINFO_ID	ID：  [ffffff]{0}[-]	ID: [ffffff]{0}[-]
	UI_TEXT_PLAYERINFO_PICTURE	画面	Frame
	UI_TEXT_HERO_CONSCIOUSNESS	战意材料进度	Unknown Dictionary Progress of War Material
	UI_TEXT_HERO_CONSCIOUSNESS_MATERIAL	属性提升	Attribute Promotion
	UI_TEXT_HERO_ELEVATION	战意材料进度	Unknown Dictionary Progress of War Material
	UI_TEXT_HERO_ELEVATION_MATERIAL	飞升材料进度	Unknown Dictionary Flying Material Progress
	UI_TEXT_STARLEVEUP	突破材料进度	Unknown Dictionary Breakthrough Material Progress
	UI_TEXT_HERO_CONSCIOUSNESS_LEVEL_PRESENT	战意等级  {0}	Unknown Dictionary Warfare Level {0}
	UI_TEXT_INSTANCE_STORY_NUMBER	{0}	{0}
	UI_TEXT_INSTANCE_STORY_HERO	英雄副本	Unknown Dictionary Hero Copy
	UI_TEXT_INSTANCE_STORY_REWARDS_NOTICE	副本星级评价越高，奖励越好！	The higher the replica star rating, the better the reward!
	UI_BUTTON_SYSTEM_CONFIRM	确认修改	Confirmation of modifications
	UI_BUTTON_SYSTEM_RESET	恢复默认	Restore default
	UI_TEXT_HERO_ELEVATION_NOTICE_ADDGEAR	请放置4件{0}的{1}	Place 4 {0} pieces of {1}
	UI_TEXT_HERO_ELEVATION_LEVEL_PRESENT	飞升等级  {0}	Unknown Dictionary Flight Level {0}
	UI_TEXT_CREATEPLAYER_SELECT_HEAD	请选择您喜欢的头像	Please choose your favorite avatar.
	UI_TEXT_CREATEPLAYER_SELECT_HERO	请选择您的首个出战英雄	Please choose your first war hero
	UI_BUTTON_SERVER_BACK	[u]< 返回[/u]	[u] < Return [/u]
	UI_TITLE_NAME_ACTIVITY_COSMOS	时空裂痕	Unknown Dictionary Spatio-temporal Crack
	UI_BUTTON_PROMOTION_INSTANCE	闯关	Rush through customs
	UI_BUTTON_PROMOTION_HERO	提升英雄	Promote Heroes
	UI_BUTTON_PROMOTION_GEAR	锻造装备	Forging equipment
	UI_TEXT_PROMOTION_INSTANCE_DESC	[AAC2CF]再次挑战已通关的副本，可以更快速的提升等级！[-]	[AAC2CF] Challenge cleared copies again, and you can upgrade the level more quickly! ...... [-]
	UI_TEXT_PROMOTION_HERO_DESC	[AAC2CF]提升[-][3BCFFF]英雄星级[-][AAC2CF]和[-][3BCFFF]技能等级[-][AAC2CF]，增强战力！[-]	[AAC2CF] upgrade [-] [3BCFFF] hero stars [-] [AAC2CF] and [-] [3BCFFF] skill levels [-] [AAC2CF], enhance combat effectiveness! [-]
	UI_TEXT_PROMOTION_GEAR_DESC	[AAC2CF]提升[-][3BCFFF]装备等级[-][AAC2CF]和[-][3BCFFF]装备星级[-][AAC2CF]，同样可以增强战力！[-]	[AAC2CF] upgrade [-] [3BCFFF] equipment level [-] [AAC2CF] and [-] [3BCFFF] equipment star [-] [AAC2CF], can also enhance combat effectiveness! [-]
	UI_TEXT_ITEM_NUMBER_HAD	拥有数量：{0}	Ownership: {0}
	UI_BUTTON_FOUNDRY_PUSH	点击	Click
	UI_TITLE_NAME_SKILL_STRENGTHEN	技能升级	Skills upgrading
	UI_TEXT_SKILL_TYPE	({0})	({0})
	UI_TEXT_SKILL_STRENGTHEN_LIMITED	未达到解锁条件，技能无法升级	Skills cannot be upgraded unlocked
	UI_TEXT_SKILL_STRENGTHEN_LIMITED_LEVEL	[3BCFFFFF]*英雄的等级达到[-][FFC56BFF] {0}[-]	[3BCFFF]* Heroes reach [-] [FFC56BFF] {0} [-]
	UI_TEXT_SKILL_STRENGTHEN_LIMITED_STAR	[3BCFFFFF]*该英雄星级达到[-]	[3BCFFF]* The hero star reaches [-]
	UI_TEXT_SKILL_STRENGTHEN_LEVEL_FULL	该技能已升至满级	This skill has been upgraded to full level.
	UI_TITLE_NAME_ARENA_1V1	单人竞技	Single Player Competition
	UI_TEXT_PVP_1V1_RANKNAME	个人排名	Personal ranking
	UI_TEXT_PVP_1V1_POINT	（积分：{0}）	(Integral: {0})
	UI_TEXT_PVP_AUTOMATCH_TIME	预计匹配所需时间：{0}秒	Estimated matching time: {0} seconds
	UI_TEXT_PVP_GOTOINSTANCE	进入场景倒计时：{0}秒	Entry countdown: {0} seconds
	UI_BUTTON_RECEIVE_ENERGY	接收	Receive
	UI_BUTTON_SEND_ENERGY	赠送	Give
	UI_BUTTON_VIP_PIRVILEGE	VIP特权	VIP privileges
	UI_BUTTON_VIP_LEVEL_PIRVILEGE_NAME	VIP{0} 特权	VIP {0} Privileges
	UI_BUTTON_VIP_LEVEL_REWARD_NAME	VIP{0} 礼包	VIP {0} Gift Pack
	UI_BUTTON_PAYMENT_CURRENCY	{0}元	{0} yuan
	UI_TEXT_VIP_LEVELUP_COST	再充值{0}钻石升至到VIP{1}	Refill {0} diamonds to VIP {1}
	UI_BUTTON_GOTO_PAYMENT	前往充值	Go to recharge
	UI_TEXT_VIP_LEVEL	VIP{0}	VIP{0}
	UI_BUTTON_RECEIVED	已领取	Received
	UI_TEXT_OPERATION_DAY_NUMBER	第{0}天	Day {0}
	UI_TEXT_OPERATION_DATE	活动时间{0:M.d}-{1:M.d}	Activity time {0:M.d} - {1:M.d}
	UI_BUTTON_DAILY_LOGIN	每日签到	Daily check-in
	UI_BUTTON_MONTHLY_LOGIN	月签到	Monthly Sign-in
	UI_BUTTON_LEVEL_REWARD	等级奖励	Grade reward
	UI_BUTTON_RECIEVE_ENERGY_BEAR	喝啤酒	Drink beer
	UI_TEXT_OPPONENT_GIVES_UP	对手放弃了战斗。	The opponent gave up the fight.
	UI_TEXT_MONTHLY_LOGIN_VIP_PRIVILEGE	V{0} {1}倍	V{0} {1} times
	UI_TEXT_MONTHLY_LOGIN_SIGN_TIME_NUMBER	[AAC2CFFF]已签到：[-][FFB746FF]{0}/{1}[-][AAC2CFFF]次[-]	[AAC2CFFF] has been checked in: [-] [FFB746FF] {0}/{1}[-] [AAC2CFFF] times [-]
	UI_BUTTON_SIGN	签到	Sign in
	UI_BUTTON_REPLENISH_SIGN	补签	Supplementary signature
	UI_TEXT_WHOLE_MONTH_REWARD	{0}月签到奖励	Monthly Sign-in Award
	UI_TEXT_RECEIVE_ENERGY_DESCRIPTION_NOTE	[AAC2CFFF]每日12时，18时，21时可来此喝杯啤酒，每杯啤酒补充[-][FFB746FF]50[-][AAC2CFFF]点体力[-]	[AAC2CFFF] 12:00 a day, 18:00 a.m. and 21:00 a.m. to have a beer here, each beer supplement [-] [FFB746FF] 50 [-] [AAC2CFFF] point physical strength [-]
	UI_TEXT_LEVEL_REWARD_NAME	LEVEL	LEVEL
	UI_BUTTON_FRIENDS	好友	Good friend
	UI_BUTTON_SKILL	技能	Skill
	UI_BUTTON_FIRST_CHARGE	首充	First charge
	UI_BUTTON_RANK_LIST	排行榜	Ranking List
	UI_BUTTON_ALREADY_FRIENDS	已经是好友	Already a good friend
	UI_BUTTON_ACHIEVEMENT_RECEIVE	已领取	Received
	UI_BUTTON_DAILY	任务	task
	UI_TEXT_SUMMARY_NOTE_ADD_FRIEND	好友请求发送成功	Successful Friend Request Sending
	UI_BUTTON_ACHIEVMENT_GOTO	前往	Go to
	UI_BUTTON_ACHIEVEMENT_NOT_COMPLETE	未完成	Hang in the air
	UI_TEXT_SKIP_DEMO_INSTANCE_CONFIRM	是否跳过展示副本？	Do you skip showing copies?
	UI_TEXT_MATCHING_COMPLETE	匹配完成	Matching Completion
	UI_TEXT_CHAT_INPUT_NOT_ENOUGH_LEVEL	当前玩家等级不足10级，无法发送聊天信息	Current player level is less than 10, unable to send chat messages
	UI_TEXT_ACTIVITY_FAIL_DEAD	全体阵亡，挑战失败	The whole battle dies, the challenge fails
	UI_BUTTON_CHANGETEAM	调整阵容	Adjust the lineup
	UI_TEXT_INVENTORY_GEAR_SLOTS_FULL	您的装备数量已经达到上限，无法领取。	Your equipment has reached the upper limit and cannot be collected.
	UI_TEXT_INVENTORY_SOUL_SLOTS_FULL	您的战魂数量已经达到上限，无法领取。	Your number of souls of war has reached the upper limit and cannot be collected.
	UI_TEXT_INVENTORY_EPIGRAPH_SLOTS_FULL	您的铭文数量已经达到上限，无法领取。	Your number of inscriptions has reached the upper limit and cannot be retrieved.
	UI_TEXT_INVENTORY_ITEM_SLOTS_FULL	您的道具种类已经达到上限，无法领取。	Your props have reached the upper limit and cannot be collected.
	UI_TEXT_INVENTORY_ITEM_PILE_LIMIT_REACHED	该道具的数量已经达到上限，无法领取。	The number of props has reached the upper limit and cannot be collected.
	UI_TEXT_CANNOT_OPEN_ALL_EMAILS	无法领取所有奖励，请清理包裹。	Cannot receive all rewards. Please clean up the package.
	UI_TEXT_DATE_FORMAT	yy年M月d日	YY year M month d day
	UI_TEXT_QTY_FORMAT	数量：{0}	Number: {0}
	UI_TEXT_ITEM_DESC_WITH_QTY_FORMAT	{0} ({1})	{0} ({1})
	UI_TEXT_ITEM	道具	Prop
	UI_CONFIRM_QUALITY_LEVEL	修改画面质量需要重启游戏，是否选择确认修改？	Modifying the picture quality requires restarting the game. Do you choose to confirm the modification?
	UI_BUTTON_GO_BACK_TO_LOBBY	回主城	Return to the Main City
	UI_TEXT_ROOM_NETWORK_CLOSED	很抱歉，与房间的连接出错了。	I'm sorry, the connection to the room is wrong.
	UI_TEXT_REMARK_UNAVAILALE	功能暂未开放，敬请期待	Functions are not yet open, please look forward to it.
	UI_TEXT_IN_TEAM	已上阵	Has gone to battle
	UI_TEXT_SOLD_TO_COINS	是否出售{0}以换取{1}金币？	Do you sell {0} in exchange for {1} gold coins?
	UI_TEXT_SOLD_TO_DIAMONDS	是否出售{0}以换取{1}钻石？	Do you sell {0} in exchange for {1} diamonds?
	UI_TEXT_NOTICE_HIGH_QUALITY	({0}为{1}道具，请慎重选择！)	({0} is {1} prop, please choose carefully! )
	UI_TITLE_NAME_ACTIVITY_TEMPLE	试炼神殿	Trial Temple
	UI_TITLE_NAME_STORY	背景故事	Background story
	UI_BUTTON_OPERATION	领奖	Receive a prize
	UI_BUTTON_WELFARE	福利中心	Welfare
	UI_TEXT_GEARFORMPIECES_NOT_SAME_QUALITY_NOTICE	您已选择其他品质的装备，无法添加此品质的装备	You have selected equipment of other quality and cannot add equipment of this quality.
	UI_TEXT_GEARSTRENGTHEN_TOAST_FAILED	强化失败	Reinforcement failure
	UI_TEXT_PLAYER_NAME_AND_SERVER	{0}[3BCFFFFF]（{1}）[-]	{0} [3BCFFF] ({1}) [-]
	UI_TEXT_NETWORK_DELAY	{0}ms	{0}ms
	UI_TEXT_RESTRICT	克制	Restraint
	UI_TITLE_ELEMENTS	属性克制图	Attribute Restraint Mapping
	UI_BUTTON_ONEKEY_LEVEL_UP	一键升级	One-click Upgrade
	UI_TEXT_EXP_UP_ILLUSTRATE	点击下列药品可增加经验	Click on the following medicines to gain experience
	UI_TEXT_TIME_SECOND	{0:F0}s	{0:F0} s
	UI_BUTTON_NEXT_INSTANCE	下一关	Next Pass
	UI_TEXT_REMIND_DRESS	可装备	Equipped
	UI_TEXT_CLEANOUT_CONDITION_NOTE	扫荡需3星通关该副本	Clearance requires 3 stars to clear the copy.
	UI_TEXT_PVP_INTEGRAL	积分：{0}	Integral: {0}
	UI_TEXT_PVP_SEASON_NOT_STARTED	赛季未开始	The season did not begin
	UI_TEXT_PVP_INTEGAL_NOT_ENOUGH	积分不足，无法进入排行榜	Points are insufficient to enter the rankings
	UI_TEXT_PVP_NOT_ON_LIST	未入榜	Not on the list
	UI_TEXT_ACTIVITY_OPEN_TIME_QUANTUM	{0}-{1}开启	Open {0} - {1}
	UI_TEXT_PVP_SEASON_NAME_TEXT	{0}第{1}赛季（{2}-{3}）	The {0} {1} season ({2} - {3})
	UI_TEXT_POINT_WITH_QUESTION_MASK	积分：？	Integral:?
	UI_TEXT_SERVER_NAME_WITH_BRACKET	({0})	({0})
	UI_TEXT_TIPS_HERO_LEVEL_LESS_THAN_PLAYER_LEVEL	(英雄等级不得高于玩家等级)	(Hero level must not be higher than player level)
	UI_TEXT_FULL_EXP	经验值已满	Experience is full
	UI_TEXT_PVP_COUNTDOWN	进入战场倒计时：{0}	Countdown to Battlefield Entry: {0}
	UI_TEXT_DRAG_HERO	将英雄拖拽至此	Drag the hero here
	UI_TEXT_GET_OFF	下阵	Next array
	UI_TEXT_OPPONENT	对手：	Opponent:
	UI_BUTTON_TEXT_RETRY	重试	retry
	UI_BUTTON_TEXT_SURE	确定	Sure?
	UI_TEXT_HERO_TEAM_FULL	出战阵容中无空位无法替换上场。	No vacancy in the line-up can not be replaced.
	UI_TEXT_HERO_NOT_SUMMONED	以下英雄未召唤	The following heroes have not been summoned
	UI_BUTTON_SUMMARY	概述	Summary
	UI_TEXT_ATTACK	攻击力	Aggressivity
	UI_TEXT_DEFENSE	防御力	Defense
	UI_TEXT_CD_AFTER_CHANGE_HERO	切换冷却	Switching Cooling
	UI_BUTTON_RETURN	返回	Return
	UI_BUTTON_PURIFY_AFFINAGE	精炼	Refine
	UI_BUTTON_UPGRADE_STAR	升星	Rising star
	UI_BUTTON_ACHIEVE	获取	Obtain
	UI_TEXT_WIHTOUT_PADGE	没有可装备的徽章	No equipped Badge
	UI_TEXT_PROMPT	提示	Tips
	UI_TEXT_HERO_NOT_EXCEED_PLAYERS	英雄等级不可超过玩家当前等级	The hero level should not exceed the player's current level
	UI_TEXT_MAX	MAX	MAX
	UI_TEXT_PLAYER_MAX_LEVEL	英雄已经满级	The hero has reached his full rank.
	UI_TEXT_TOUCH_CONTINUE	点击屏幕继续	Click on the screen to continue
	UI_TEXT_TOUCH_QUIT	点击屏幕退出	Click the screen to exit
	UI_TEXT_ATTRIBUTE_SECOND	{0:F2} s	{0:F2} s
